date,equity,equity_mtm,risk_committed,risk_scale,open_positions
2025-03-28,93362.12208773593,93295.84525425592,3531.8,1.8928154333635363,1
2025-03-31,93362.12208773593,93466.02684366993,6713.93,1.8971178844215004,2
2025-04-01,93827.64525425593,93849.99684366993,3182.1299999999997,1.897421399019163,1
2025-04-02,94058.85485976393,94058.85485976393,0,1.895263901106285,0
2025-04-03,94058.85485976393,94058.85485976393,0,1.9088598920603375,0
2025-04-04,94058.85485976393,94058.85485976393,0,1.937727499150002,0
2025-04-07,94058.85485976393,94058.85485976393,0,1.9540751588699081,0
2025-04-08,94058.85485976393,94058.85485976393,0,2.0,0
2025-04-09,94058.85485976393,94058.85485976393,0,2.0,0
2025-04-10,94058.85485976393,94058.85485976393,0,2.0,0
2025-04-11,94058.85485976393,94058.85485976393,0,2.0,0
2025-04-14,94058.85485976393,94058.85485976393,0,2.0,0
2025-04-15,94058.85485976393,94058.85485976393,0,2.0,0
2025-04-16,94058.85485976393,94006.41571297993,3633.68,2.0,1
2025-04-17,94310.63101997193,94310.63101997193,0,2.0,0
2025-04-21,94310.63101997193,94310.63101997193,0,2.0,0
2025-04-22,94310.63101997193,94239.94799008394,3658.8,2.0,1
2025-04-23,93863.75315785993,93863.75315785993,0,2.0,0
2025-04-24,93863.75315785993,93863.75315785993,0,2.0,0
2025-04-25,93863.75315785993,93863.75315785993,0,2.0,0
2025-04-28,93863.75315785993,93863.75315785993,0,2.0,0
2025-04-29,93863.75315785993,93863.75315785993,0,2.0,0
2025-04-30,93863.75315785993,93863.75315785993,0,2.0,0
2025-05-01,93863.75315785993,93863.75315785993,0,2.0,0
2025-05-02,93863.75315785993,93863.75315785993,0,2.0,0
2025-05-05,93863.75315785993,93863.75315785993,0,2.0,0
2025-05-06,93863.75315785993,93863.75315785993,0,2.0,0
2025-05-07,93863.75315785993,93863.75315785993,0,2.0,0
2025-05-08,93863.75315785993,93863.75315785993,0,2.0,0
2025-05-09,93863.75315785993,93863.75315785993,0,2.0,0
2025-05-12,93863.75315785993,93863.75315785993,0,2.0,0
2025-05-13,93863.75315785993,93863.75315785993,0,2.0,0
2025-05-14,93863.75315785993,93863.75315785993,0,2.0,0
2025-05-15,93863.75315785993,93863.75315785993,0,2.0,0
2025-05-16,93863.75315785993,93863.75315785993,0,2.0,0
2025-05-19,93863.75315785993,93863.75315785993,0,2.0,0
2025-05-20,93863.75315785993,93863.75315785993,0,2.0,0
2025-05-21,93863.75315785993,93574.86781881393,8616.08,2.0,3
2025-05-22,93863.75315785993,94237.91781881393,8616.08,2.0,3
2025-05-23,93863.75315785993,93894.59781881393,8616.08,2.0,3
2025-05-27,94742.94781881393,94661.70263164594,3680.0800000000004,2.0,1
2025-05-28,94742.94781881393,94481.86263164593,3680.0800000000004,2.0,1
2025-05-29,94742.94781881393,94821.46263164593,3680.0800000000004,2.0,1
2025-05-30,94975.91923300593,94975.91923300593,0,2.0,0
2025-06-02,94975.91923300593,94975.91923300593,0,2.0,0
2025-06-03,94975.91923300593,94975.91923300593,0,2.0,0
2025-06-04,94975.91923300593,94975.91923300593,0,2.0,0
2025-06-05,94975.91923300593,94859.95348674394,6941.969999999999,2.0,2
2025-06-06,95489.12042327394,95489.12042327394,0,2.0,0
2025-06-09,95489.12042327394,95489.12042327394,0,2.0,0
2025-06-10,95489.12042327394,95489.12042327394,0,2.0,0
2025-06-11,95489.12042327394,95414.59653047394,3660.72,2.0,1
2025-06-12,95489.12042327394,95634.51653047393,3660.72,2.0,1
2025-06-13,95489.12042327394,95317.63653047394,3660.72,2.0,1
2025-06-16,95827.31653047394,95827.31653047394,0,2.0,0
2025-06-17,95827.31653047394,95827.31653047394,0,2.0,0
2025-06-18,95827.31653047394,95827.31653047394,0,2.0,0
2025-06-20,95827.31653047394,95757.59414776994,3690.3199999999997,2.0,1
2025-06-23,96099.49074912994,95989.34651296394,6954.0599999999995,2.0,2
2025-06-24,96501.30048323394,96356.22796850593,6939.5199999999995,2.0,2
2025-06-25,96501.30048323394,96664.11796850593,6939.5199999999995,2.0,2
2025-06-26,96988.81290955194,96929.65311558393,3701.0399999999995,2.0,1
2025-06-27,96988.81290955194,97085.17311558394,3701.0399999999995,2.0,1
2025-06-30,97222.66842257594,97064.58509355794,10514.49,2.0,3
2025-07-01,97385.57916942793,97119.65461974793,7289.52,2.0,2
2025-07-02,97608.31338808393,97749.30992673994,3635.04,2.0,1
2025-07-03,97925.12544945993,97925.12544945993,0,2.0,0
2025-07-07,97925.12544945993,97752.33904631792,10538.84,2.0,3
2025-07-08,98289.11577681593,98438.35274692794,3667.04,2.0,1
2025-07-09,98576.32934828794,98576.32934828794,0,2.0,0
2025-07-10,98576.32934828794,98576.32934828794,0,2.0,0
2025-07-11,98576.32934828794,98485.70501733593,5547.4400000000005,2.0,2
2025-07-14,98576.32934828794,98552.27061656794,9220.0,2.0,3
2025-07-15,98190.51821705594,97983.92913039195,9168.880000000001,2.0,3
2025-07-16,98271.39906657595,98508.35279107194,7318.08,2.0,2
2025-07-17,98868.14513087994,98868.14513087994,0,2.0,0
2025-07-18,98868.14513087994,98782.09886507194,3682.4800000000005,2.0,1
2025-07-21,98868.14513087994,98825.13886507195,3682.4800000000005,2.0,1
2025-07-22,98548.38144411195,98548.38144411195,0,2.0,0
2025-07-23,98548.38144411195,98548.38144411195,0,2.0,0
2025-07-24,98548.38144411195,98548.38144411195,0,2.0,0
2025-07-25,98548.38144411195,98548.38144411195,0,2.0,0
2025-07-28,98548.38144411195,98548.38144411195,0,2.0,0
2025-07-29,98548.38144411195,98548.38144411195,0,2.0,0
2025-07-30,98548.38144411195,98548.38144411195,0,2.0,0
2025-07-31,98548.38144411195,98326.81930590395,9144.36,2.0,3
2025-08-01,96276.74685791194,96204.62361229594,3667.5200000000004,2.0,1
2025-08-04,96597.40064511195,96532.52233138795,3853.5,2.0,1
2025-08-05,96597.40064511195,96731.74233138796,3853.5,2.0,1
2025-08-06,96819.76100624395,96819.76100624395,0,2.0,0
2025-08-07,96819.76100624395,96819.76100624395,0,2.0,0
2025-08-08,96819.76100624395,96819.76100624395,0,2.0,0
2025-08-11,96819.76100624395,96700.00055539595,7362.799999999999,2.0,2
2025-08-12,97401.39138510796,97401.39138510796,0,2.0,0
2025-08-13,97401.39138510796,97401.39138510796,0,2.0,0
2025-08-14,97401.39138510796,97401.39138510796,0,2.0,0
2025-08-15,97401.39138510796,97323.50684512395,3670.4,2.0,1
2025-08-18,97401.39138510796,97502.70684512396,3670.4,2.0,1
2025-08-19,97401.39138510796,97074.50316805196,7388.32,2.0,2
2025-08-20,97401.39138510796,96838.27966389195,10842.52,2.0,3
2025-08-21,96594.91415078795,96534.84471160396,10318.310000000001,2.0,3
2025-08-22,97549.06850330395,97549.06850330395,0,2.0,0
2025-08-25,97549.06850330395,97549.06850330395,0,2.0,0
2025-08-26,97549.06850330395,97452.45986448794,3687.76,2.0,1
2025-08-27,97549.06850330395,97436.93986448795,3687.76,2.0,1
2025-08-28,97786.51452429596,97786.51452429596,0,2.0,0
2025-08-29,97786.51452429596,97786.51452429596,0,2.0,0
2025-09-02,97786.51452429596,97581.96589305396,10581.650000000001,2.0,3
2025-09-03,98071.90903761596,98263.21455913795,10038.240000000002,2.0,3
2025-09-04,98874.66244863195,98874.66244863195,0,2.0,0
2025-09-05,98874.66244863195,98850.39963747194,1850.8000000000002,2.0,1
2025-09-08,98874.66244863195,98914.59963747195,1850.8000000000002,2.0,1
2025-09-09,98974.94275883195,98904.26037612795,3706.7999999999997,2.0,1
2025-09-10,98974.94275883195,99028.82037612796,3706.7999999999997,2.0,1
2025-09-11,99176.39482020795,99176.39482020795,0,2.0,0
2025-09-12,99176.39482020795,99176.39482020795,0,2.0,0
2025-09-15,99176.39482020795,99176.39482020795,0,2.0,0
2025-09-16,99176.39482020795,99176.39482020795,0,2.0,0
2025-09-17,99176.39482020795,99176.39482020795,0,2.0,0
2025-09-18,99176.39482020795,99176.39482020795,0,2.0,0
2025-09-19,99176.39482020795,99084.58661284795,3637.3599999999997,2.0,1
2025-09-22,99400.31846819195,99400.31846819195,0,2.0,0
2025-09-23,99400.31846819195,99366.12428315195,3688.5599999999995,2.0,1
2025-09-24,99400.31846819195,99220.80297908795,7392.959999999999,2.0,2
2025-09-25,99400.31846819195,99372.00297908795,7392.959999999999,2.0,2
2025-09-26,99920.75467171195,99835.66883735996,3697.9999999999995,2.0,1
2025-09-29,99920.75467171195,99962.06883735996,3697.9999999999995,2.0,1
2025-09-30,100089.87961406396,99973.00002612796,7377.360000000001,2.0,2
2025-10-01,100279.98138319996,100428.33641175997,3696.08,2.0,1
2025-10-02,100524.63064011197,100524.63064011197,0,2.0,0
2025-10-03,100524.63064011197,100524.63064011197,0,2.0,0
2025-10-06,100524.63064011197,100414.57941255996,3726.48,2.0,1
2025-10-07,100063.17142092796,100063.17142092796,0,2.0,0
2025-10-08,100063.17142092796,100063.17142092796,0,2.0,0
2025-10-09,100063.17142092796,100063.17142092796,0,2.0,0
2025-10-10,100063.17142092796,99660.71331099996,7427.32,2.0,2
2025-10-13,100606.31271012797,100315.04614649597,11040.0,2.0,3
2025-10-14,99650.33571915198,99594.44296211198,10943.36,2.0,3
2025-10-15,100346.52133260798,100172.98836953599,7357.68,2.0,2
2025-10-16,100346.52133260798,100081.09563188798,10898.0,2.0,3
2025-10-17,101018.28927575999,101084.28364744,7366.08,2.0,2
2025-10-20,101630.10024879998,101520.52772687998,3622.2400000000002,2.0,1
